종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
445910,2,TIGER MKF배당귀족,12945,2,50,0.39,12930.0,4.3116,605,7,84,국내 업종/테마,TIGER,False,False,False
174350,2,TIGER 로우볼,12745,2,80,0.63,12747.0,0.476,2,0,84,국내 업종/테마,TIGER,False,False,False
395750,2,PLUS ESG가치주액티브,8380,2,45,0.54,8390.0,-4.5247,30,0,84,국내 업종/테마,PLUS,False,False,False
139240,2,TIGER 200 철강소재,7100,2,80,1.14,7099.0,-17.1193,1975,14,84,국내 업종/테마,TIGER,False,False,False
225050,4,TIGER 유로스탁스레버리지(합성 H),10460,2,165,1.6,10366.0,-17.5741,244,2,84,해외 주식,TIGER,False,True,True
464610,2,SOL 의료기기소부장Fn,9830,2,70,0.72,9849.0,4.385,2073,20,84,국내 업종/테마,SOL,False,False,False
432840,4,HANARO 미국S&P500,13910,2,165,1.2,13899.0,3.2604,73,1,83,해외 주식,HANARO,False,False,False
253150,3,PLUS 200선물레버리지,33330,2,575,1.76,33403.0,-9.8776,155,5,83,국내 파생,PLUS,False,True,False
229720,1,KODEX KTOP30,16615,2,270,1.65,16578.0,-6.4664,228,3,83,국내 시장지수,KODEX,False,False,False
364690,1,KODEX 혁신기술테마액티브,13725,2,100,0.73,13727.0,-0.9812,51,0,82,국내 시장지수,KODEX,False,False,False
456200,6,PLUS 미국달러SOFR금리액티브(합성),54705,3,0,0.0,54419.0,1.39,0,0,82,채권,PLUS,False,False,False
375270,7,RISE 글로벌데이터센터리츠(합성),11685,2,80,0.69,11619.0,8.5594,132,1,82,기타,RISE,False,False,False
253250,3,KOSEF 200선물레버리지,16350,2,300,1.87,16384.0,-10.2098,16121,265,82,국내 파생,KOSEF,False,True,False
292770,6,KODEX 국채선물3년인버스,54285,3,0,0.0,54235.0,-0.7769,0,0,81,채권,KODEX,True,False,False
390400,4,KODEX 미국스마트모빌리티S&P,5085,2,80,1.6,5080.0,-11.7284,440,2,81,해외 주식,KODEX,False,False,False
333970,2,PLUS KS밸류가중TR,16215,2,125,0.78,16276.0,-2.9554,4,0,81,국내 업종/테마,PLUS,False,False,False
183710,7,RISE 주식혼합,40425,3,0,0.0,40743.0,-2.1684,0,0,81,기타,RISE,False,False,False
285690,2,FOCUS ESG리더스,10720,3,0,0.0,10808.0,-2.8106,0,0,80,국내 업종/테마,FOCUS,False,False,False
404120,2,TIMEFOLIO K신재생에너지액티브,13320,2,340,2.62,13317.0,-6.9201,1005,13,80,국내 업종/테마,TIMEFOLIO,False,False,False
429740,7,PLUS K리츠,7600,2,25,0.33,7602.0,5.8996,328,2,80,기타,PLUS,False,False,False
449580,7,RISE 미국빅데이터Top3채권혼합,13255,2,105,0.8,13174.0,4.531,601,7,80,기타,RISE,False,False,False
333950,2,PLUS KS로우사이즈가중TR,15855,2,180,1.15,15914.0,-6.0534,4,0,79,국내 업종/테마,PLUS,False,False,False
477490,4,에셋플러스 글로벌일등기업포커스10액티브,11310,2,180,1.62,11314.0,5.4976,239,2,79,해외 주식,에셋플러스,False,False,False
252000,1,TIGER 200동일가중,11305,2,25,0.22,11325.0,-4.0817,1,0,79,국내 시장지수,TIGER,False,False,False
227560,2,TIGER 200 생활소비재,8395,2,80,0.96,8398.0,-2.1189,5096,42,79,국내 업종/테마,TIGER,False,False,False
424460,4,HANARO 글로벌워터MSCI(합성),13140,2,200,1.55,13099.0,-4.888,33,0,79,해외 주식,HANARO,False,False,False
468370,6,KODEX iShares미국인플레이션국채액티브,10655,5,-40,-0.37,10649.0,3.5033,2736,29,79,채권,KODEX,False,False,False
433220,4,에셋플러스 글로벌대장장이액티브,14950,2,240,1.63,14937.0,2.8311,4,0,78,해외 주식,에셋플러스,False,False,False
292050,1,RISE KRX300,17270,3,0,0.0,17498.0,-3.1788,0,0,78,국내 시장지수,RISE,False,False,False
489010,4,PLUS 글로벌AI인프라,10335,2,245,2.43,10442.0,,74306,773,78,해외 주식,PLUS,False,False,False
457930,2,BNK 미래전략기술액티브,10320,2,125,1.23,10319.0,-4.3622,1,0,77,국내 업종/테마,BNK,False,False,False
275280,2,KODEX MSCI모멘텀,12850,3,0,0.0,13073.0,0.6658,0,0,77,국내 업종/테마,KODEX,False,False,False
438740,2,마이다스 중소형액티브,20495,2,160,0.79,20634.0,-8.9138,2,0,77,국내 업종/테마,마이다스,False,False,False
360150,2,KODEX 코스닥150롱코스피200숏선물,9595,2,60,0.63,9598.0,-3.2471,674,6,77,국내 업종/테마,KODEX,False,False,False
450190,4,KODEX 한중반도체(합성),12755,2,170,1.35,12825.0,-2.0242,1100,14,77,해외 주식,KODEX,False,False,False
488290,4,마이다스 일본테크액티브,20395,2,335,1.67,20434.0,,999,20,76,해외 주식,마이다스,False,False,False
373490,2,KODEX K-이노베이션액티브,12700,2,150,1.2,12683.0,-4.1253,101,1,76,국내 업종/테마,KODEX,False,False,False
337120,2,KODEX Fn멀티팩터,12650,3,0,0.0,12798.0,-4.0213,0,0,76,국내 업종/테마,KODEX,False,False,False
192720,2,파워 고배당저변동성,31420,2,55,0.18,31511.0,-0.3559,11,0,75,국내 업종/테마,파워,False,False,False
411720,4,RISE 글로벌메타버스,13700,2,250,1.86,13759.0,1.5094,12,0,75,해외 주식,RISE,False,False,False
289670,6,PLUS 국채선물10년,55305,3,0,0.0,55488.0,5.393,0,0,75,채권,PLUS,False,False,False
237440,7,TIGER 경기방어채권혼합,9325,2,40,0.43,9338.0,2.2014,1154,10,75,기타,TIGER,False,False,False
346000,6,HANARO KAP초장기국고채,40830,2,165,0.41,40849.0,8.6486,371,15,74,채권,HANARO,False,False,False
227570,2,TIGER 우량가치,11755,2,40,0.34,11753.0,-0.3827,2,0,74,국내 업종/테마,TIGER,False,False,False
481200,4,SOL 미국테크TOP10인버스(합성),9235,5,-255,-2.69,9288.0,,62,0,74,해외 주식,SOL,True,False,False
442580,4,PLUS 글로벌HBM반도체,18390,2,400,2.22,18411.0,-7.7673,1106,20,74,해외 주식,PLUS,False,False,False
441330,4,KOSEF 차이나A50커넥트MSCI,8165,2,15,0.18,8177.0,-2.9647,1,0,73,해외 주식,KOSEF,False,False,False
460280,2,KOSEF Fn유전자혁신기술,9795,2,95,0.98,9815.0,4.4695,1690,16,73,국내 업종/테마,KOSEF,False,False,False
448100,1,WOORI 200,36705,2,365,1.0,36797.0,-3.6126,95,3,73,국내 시장지수,WOORI,False,False,False
108590,1,TREX 200,36530,2,365,1.01,36601.0,-3.6063,5,0,73,국내 시장지수,TREX,False,False,False
473640,4,HANARO 글로벌금채굴기업,13200,2,110,0.84,13196.0,5.3945,3574,46,73,해외 주식,HANARO,False,False,False
432600,6,RISE 국채선물3년,54070,2,35,0.06,54185.0,2.1166,20,1,72,채권,RISE,False,False,False
435550,7,히어로즈 TDF2050액티브,13095,2,75,0.58,13100.0,1.1655,39,0,72,기타,히어로즈,False,False,False
371150,4,RISE 차이나항셍테크,5135,2,45,0.88,5084.0,-14.0929,130,0,72,해외 주식,RISE,False,False,False
234310,2,RISE V&S셀렉트밸류,14295,3,0,0.0,14456.0,-4.9851,0,0,71,국내 업종/테마,RISE,False,False,False
261140,2,TIGER 우선주,11845,2,105,0.89,11845.0,-4.5994,44,0,71,국내 업종/테마,TIGER,False,False,False
153270,1,KOSEF 코스피100,27295,2,325,1.21,27321.0,-3.9188,261,7,71,국내 시장지수,KOSEF,False,False,False
228820,1,TIGER KTOP30,8305,2,75,0.91,8318.0,-5.9429,108,0,71,국내 시장지수,TIGER,False,False,False
331910,2,KOSEF Fn중소형,20630,2,210,1.03,20629.0,-7.3293,10,0,70,국내 업종/테마,KOSEF,False,False,False
449680,7,TIGER 한중전기차(합성),7320,2,70,0.97,7352.0,-15.5504,8,0,70,기타,TIGER,False,False,False
253280,2,RISE 헬스케어,13900,3,0,0.0,13915.0,0.9074,504,7,70,국내 업종/테마,RISE,False,False,False
486780,3,HANARO 200선물레버리지1.5X,12835,2,220,1.74,12921.0,,8,0,69,국내 파생,HANARO,False,True,False
251590,2,PLUS 고배당저변동50,12590,2,15,0.12,12586.0,0.2791,397,4,69,국내 업종/테마,PLUS,False,False,False
440910,4,WOORI 미국우주항공방산,13810,3,0,0.0,13765.0,3.562,13276,191,69,해외 주식,WOORI,False,False,False
333960,2,PLUS KS모멘텀가중TR,15240,2,185,1.23,15297.0,-1.6977,4,0,69,국내 업종/테마,PLUS,False,False,False
227830,1,PLUS 코스피,27360,2,195,0.72,27374.0,-3.776,10,0,68,국내 시장지수,PLUS,False,False,False
305050,1,ACE 코스피,27235,2,275,1.02,27263.0,-3.3865,219,5,68,국내 시장지수,ACE,False,False,False
253160,3,PLUS 200선물인버스2X,4250,5,-65,-1.51,4231.0,3.8507,4340,18,68,국내 파생,PLUS,True,False,False
275290,2,KODEX MSCI밸류,11290,3,0,0.0,11374.0,-2.7563,0,0,68,국내 업종/테마,KODEX,False,False,False
487750,2,BNK 온디바이스AI,8455,2,185,2.24,8480.0,,233,1,68,국내 업종/테마,BNK,False,False,False
450120,2,KOSEF SK그룹대표주,12235,2,185,1.54,12250.0,-3.6,4025,49,67,국내 업종/테마,KOSEF,False,False,False
225130,4,ACE 골드선물 레버리지(합성 H),22400,3,0,0.0,22445.0,5.4365,1575,35,67,해외 주식,ACE,False,True,True
413930,2,WOORI AI ESG액티브,9555,2,85,0.9,9560.0,-2.9714,812,7,67,국내 업종/테마,WOORI,False,False,False
307510,2,TIGER 의료기기,14860,2,50,0.34,14894.0,1.927,1562,23,67,국내 업종/테마,TIGER,False,False,False
176950,6,KODEX 국채선물10년인버스,53015,5,-65,-0.12,52981.0,-3.919,3,0,67,채권,KODEX,True,False,False
298340,6,PLUS 국채선물3년,55555,3,0,0.0,55632.0,2.2077,0,0,67,채권,PLUS,False,False,False
157500,2,TIGER 증권,5285,2,25,0.48,5294.0,1.5444,3460,18,67,국내 업종/테마,TIGER,False,False,False
380340,2,ACE Fn5G플러스,9460,2,155,1.67,9430.0,-11.1271,73,0,66,국내 업종/테마,ACE,False,False,False
270800,2,RISE KQ고배당,10990,2,130,1.2,10999.0,-12.701,2,0,66,국내 업종/테마,RISE,False,False,False
371130,4,ACE 베트남VN30선물블룸버그레버리지(H),10910,2,25,0.23,10878.0,-1.2699,19,0,65,해외 주식,ACE,False,True,True
252650,1,KODEX 200동일가중,10860,2,30,0.28,10886.0,-3.8189,820,8,65,국내 시장지수,KODEX,False,False,False
117690,4,TIGER 차이나항셍25,14415,2,105,0.73,14288.0,-6.2869,32,0,65,해외 주식,TIGER,False,False,False
334690,5,RISE 팔라듐선물(H),4805,2,140,3.0,4838.0,-9.4175,4260,20,65,원자재,RISE,False,False,True
429990,7,SOL 한국형글로벌플랫폼&메타버스액티브,12970,2,200,1.57,13068.0,-5.4075,10,0,65,기타,SOL,False,False,False
435540,7,히어로즈 TDF2040액티브,12970,2,85,0.66,13009.0,1.4966,2,0,65,기타,히어로즈,False,False,False
404650,2,SOL KRX기후변화솔루션,10795,3,0,0.0,11056.0,-10.7409,0,0,65,국내 업종/테마,SOL,False,False,False
304670,6,KODEX 미국30년국채울트라선물인버스(H),10765,5,-40,-0.37,10771.0,-7.0538,20,0,65,채권,KODEX,True,False,True
166400,3,TIGER 200커버드콜5%OTM,12910,2,40,0.31,12978.0,-4.0412,35,0,65,국내 파생,TIGER,False,False,False
244620,2,KODEX 모멘텀Plus,12875,2,245,1.94,12892.0,-5.3224,221,2,64,국내 업종/테마,KODEX,False,False,False
461580,1,TIGER 코스닥글로벌,11595,2,240,2.11,11640.0,0.9333,7,0,64,국내 시장지수,TIGER,False,False,False
279540,2,KODEX 최소변동성,10620,3,0,0.0,10725.0,-4.1517,0,0,64,국내 업종/테마,KODEX,False,False,False
138920,5,KODEX 콩선물(H),10540,5,-120,-1.13,10497.0,-18.0946,792,8,63,원자재,KODEX,False,False,True
289250,2,TIGER MSCI KOREA ESG유니버설,10535,3,0,0.0,10677.0,-2.9033,0,0,63,국내 업종/테마,TIGER,False,False,False
215620,2,HK S&P코리아로우볼,13095,3,0,0.0,13178.0,1.5116,0,0,63,국내 업종/테마,HK,False,False,False
316300,7,ACE 싱가포르리츠,12565,3,0,0.0,12638.0,6.0337,22,0,63,기타,ACE,False,False,False
469530,3,RISE 미국달러선물인버스,9605,2,45,0.47,9629.0,0.0523,3,0,62,국내 파생,RISE,True,False,False
462340,4,에셋플러스 글로벌다이나믹시니어액티브,11955,2,85,0.72,11942.0,2.2834,14,0,62,해외 주식,에셋플러스,False,False,False
253230,3,KOSEF 200선물인버스2X,2090,5,-45,-2.11,2085.0,4.4009,48234,100,61,국내 파생,KOSEF,True,False,False
226380,2,ACE Fn성장소비주도주,5585,3,0,0.0,5578.0,-7.9902,30,0,61,국내 업종/테마,ACE,False,False,False
225030,4,TIGER 미국S&P500선물인버스(H),3150,5,-40,-1.25,3148.0,-1.3911,7106,22,61,해외 주식,TIGER,True,False,True
205720,4,ACE 일본TOPIX인버스(합성 H),2670,5,-35,-1.29,2681.0,2.6565,53082,141,61,해외 주식,ACE,True,False,True
435530,7,히어로즈 TDF2030액티브,12270,3,0,0.0,12359.0,1.7412,0,0,61,기타,히어로즈,False,False,False
442560,7,RISE TDF2040액티브,12150,2,100,0.83,12132.0,0.9635,373,4,61,기타,RISE,False,False,False
280920,2,PLUS 주도업종,11045,2,55,0.5,11051.0,4.1212,4,0,61,국내 업종/테마,PLUS,False,False,False
451150,4,에셋플러스 글로벌영에이지액티브,12125,2,155,1.29,12111.0,-9.3182,16,0,61,해외 주식,에셋플러스,False,False,False
437370,4,RISE 글로벌농업경제,8640,2,165,1.95,8603.0,-7.3265,26,0,60,해외 주식,RISE,False,False,False
295000,6,RISE 국채선물10년,54470,3,0,0.0,54713.0,5.3069,0,0,60,채권,RISE,False,False,False
442550,7,RISE TDF2030액티브,11925,2,75,0.63,11905.0,1.4989,22,0,60,기타,RISE,False,False,False
315270,2,TIGER 200커뮤니케이션서비스,16560,2,145,0.88,16537.0,-4.3917,14,0,60,국내 업종/테마,TIGER,False,False,False
457990,2,PLUS 태양광&ESS,9890,2,285,2.97,9908.0,-6.7023,1177,11,59,국내 업종/테마,PLUS,False,False,False
261060,2,TIGER 코스닥150IT,13440,3,0,0.0,13833.0,-18.7425,0,0,59,국내 업종/테마,TIGER,False,False,False
415760,4,SOL 차이나육성산업액티브(합성),5375,2,40,0.75,5448.0,-6.9748,405,2,59,해외 주식,SOL,False,False,False
411860,4,KOSEF 독일DAX,11795,2,30,0.25,11756.0,-3.5577,12,0,59,해외 주식,KOSEF,False,False,False
459370,4,SOL 유럽탄소배출권선물인버스ICE(H),11745,2,195,1.69,11807.0,-3.9102,5765,67,59,해외 주식,SOL,True,False,True
140580,2,RISE 우량업종대표주,11725,2,90,0.77,11740.0,-4.4746,52,0,59,국내 업종/테마,RISE,False,False,False
304760,1,HANARO KRX300,16735,2,140,0.84,16787.0,-3.1006,9,0,59,국내 시장지수,HANARO,False,False,False
437550,7,히어로즈 글로벌리츠이지스액티브,10540,2,160,1.54,10579.0,7.2314,30,0,58,기타,히어로즈,False,False,False
291890,4,KODEX MSCI EM선물(H),8250,2,60,0.73,8291.0,-1.2659,13,0,58,해외 주식,KODEX,False,False,True
373530,4,PLUS 신흥국MSCI인버스(합성 H),11075,3,0,0.0,11005.0,0.5447,0,0,58,해외 주식,PLUS,True,False,True
