"행정구역(시군구)별","성별","연령별","항목","단위","2023 년",
"종로구","남자","70 - 74세","주민등록연앙인구[명]","명","2842",
"종로구","남자","75 - 79세","주민등록연앙인구[명]","명","2232",
"종로구","남자","80세 이상","주민등록연앙인구[명]","명","2908",
"종로구","남자","80 - 84세","주민등록연앙인구[명]","명","1789",
"종로구","남자","85세 이상","주민등록연앙인구[명]","명","1119",
"종로구","남자","85 - 89세","주민등록연앙인구[명]","명","824",
"종로구","남자","90 - 94세","주민등록연앙인구[명]","명","233",
"종로구","남자","95 - 99세","주민등록연앙인구[명]","명","53.5",
"종로구","남자","100세 이상","주민등록연앙인구[명]","명","8.5",
"종로구","여자","계","주민등록연앙인구[명]","명","71655",
"종로구","여자","0 - 4세","주민등록연앙인구[명]","명","1182",
"종로구","여자","5 - 9세","주민등록연앙인구[명]","명","1862",
"종로구","여자","10 - 14세","주민등록연앙인구[명]","명","2347.5",
"종로구","여자","15 - 19세","주민등록연앙인구[명]","명","2650",
"종로구","여자","20 - 24세","주민등록연앙인구[명]","명","5093.5",
"종로구","여자","25 - 29세","주민등록연앙인구[명]","명","6329.5",
"종로구","여자","30 - 34세","주민등록연앙인구[명]","명","5265",
"종로구","여자","35 - 39세","주민등록연앙인구[명]","명","4331.5",
"종로구","여자","40 - 44세","주민등록연앙인구[명]","명","4970",
"종로구","여자","45 - 49세","주민등록연앙인구[명]","명","5005",
"종로구","여자","50 - 54세","주민등록연앙인구[명]","명","6212",
"종로구","여자","55 - 59세","주민등록연앙인구[명]","명","5657",
"종로구","여자","60 - 64세","주민등록연앙인구[명]","명","5511.5",
"종로구","여자","65 - 69세","주민등록연앙인구[명]","명","4514.5",
"종로구","여자","70 - 74세","주민등록연앙인구[명]","명","3263",
"종로구","여자","75 - 79세","주민등록연앙인구[명]","명","2948.5",
"종로구","여자","80세 이상","주민등록연앙인구[명]","명","4512.5",
"종로구","여자","80 - 84세","주민등록연앙인구[명]","명","2504",
"종로구","여자","85세 이상","주민등록연앙인구[명]","명","2008.5",
"종로구","여자","85 - 89세","주민등록연앙인구[명]","명","1359",
"종로구","여자","90 - 94세","주민등록연앙인구[명]","명","491",
"종로구","여자","95 - 99세","주민등록연앙인구[명]","명","136",
"종로구","여자","100세 이상","주민등록연앙인구[명]","명","22.5",
"중구","계","계","주민등록연앙인구[명]","명","119207",
"중구","계","0 - 4세","주민등록연앙인구[명]","명","2738",
"중구","계","5 - 9세","주민등록연앙인구[명]","명","3051.5",
"중구","계","10 - 14세","주민등록연앙인구[명]","명","2896",
"중구","계","15 - 19세","주민등록연앙인구[명]","명","3293.5",
"중구","계","20 - 24세","주민등록연앙인구[명]","명","6800.5",
"중구","계","25 - 29세","주민등록연앙인구[명]","명","10696.5",
"중구","계","30 - 34세","주민등록연앙인구[명]","명","11073",
"중구","계","35 - 39세","주민등록연앙인구[명]","명","9136",
"중구","계","40 - 44세","주민등록연앙인구[명]","명","8831",
"중구","계","45 - 49세","주민등록연앙인구[명]","명","7643",
"중구","계","50 - 54세","주민등록연앙인구[명]","명","9644",
"중구","계","55 - 59세","주민등록연앙인구[명]","명","9132.5",
"중구","계","60 - 64세","주민등록연앙인구[명]","명","9558",
"중구","계","65 - 69세","주민등록연앙인구[명]","명","8238",
"중구","계","70 - 74세","주민등록연앙인구[명]","명","5660.5",
"중구","계","75 - 79세","주민등록연앙인구[명]","명","4573",
"중구","계","80세 이상","주민등록연앙인구[명]","명","6242",
"중구","계","80 - 84세","주민등록연앙인구[명]","명","3579",
"중구","계","85세 이상","주민등록연앙인구[명]","명","2663",
"중구","계","85 - 89세","주민등록연앙인구[명]","명","1800",
"중구","계","90 - 94세","주민등록연앙인구[명]","명","676",
"중구","계","95 - 99세","주민등록연앙인구[명]","명","161.5",
"중구","계","100세 이상","주민등록연앙인구[명]","명","25.5",
"중구","남자","계","주민등록연앙인구[명]","명","57719",
"중구","남자","0 - 4세","주민등록연앙인구[명]","명","1405",
"중구","남자","5 - 9세","주민등록연앙인구[명]","명","1561.5",
"중구","남자","10 - 14세","주민등록연앙인구[명]","명","1470",
"중구","남자","15 - 19세","주민등록연앙인구[명]","명","1626",
"중구","남자","20 - 24세","주민등록연앙인구[명]","명","3095.5",
"중구","남자","25 - 29세","주민등록연앙인구[명]","명","4949.5",
"중구","남자","30 - 34세","주민등록연앙인구[명]","명","5506.5",
"중구","남자","35 - 39세","주민등록연앙인구[명]","명","4616.5",
"중구","남자","40 - 44세","주민등록연앙인구[명]","명","4494.5",
"중구","남자","45 - 49세","주민등록연앙인구[명]","명","3885",
"중구","남자","50 - 54세","주민등록연앙인구[명]","명","4765.5",
"중구","남자","55 - 59세","주민등록연앙인구[명]","명","4626",
"중구","남자","60 - 64세","주민등록연앙인구[명]","명","4796",
"중구","남자","65 - 69세","주민등록연앙인구[명]","명","4069",
"중구","남자","70 - 74세","주민등록연앙인구[명]","명","2660",
"중구","남자","75 - 79세","주민등록연앙인구[명]","명","1956.5",
"중구","남자","80세 이상","주민등록연앙인구[명]","명","2236",
"중구","남자","80 - 84세","주민등록연앙인구[명]","명","1445",
"중구","남자","85세 이상","주민등록연앙인구[명]","명","791",
"중구","남자","85 - 89세","주민등록연앙인구[명]","명","568",
"중구","남자","90 - 94세","주민등록연앙인구[명]","명","177.5",
"중구","남자","95 - 99세","주민등록연앙인구[명]","명","40",
"중구","남자","100세 이상","주민등록연앙인구[명]","명","5.5",
"중구","여자","계","주민등록연앙인구[명]","명","61488",
"중구","여자","0 - 4세","주민등록연앙인구[명]","명","1333",
"중구","여자","5 - 9세","주민등록연앙인구[명]","명","1490",
"중구","여자","10 - 14세","주민등록연앙인구[명]","명","1426",
"중구","여자","15 - 19세","주민등록연앙인구[명]","명","1667.5",
"중구","여자","20 - 24세","주민등록연앙인구[명]","명","3705",
"중구","여자","25 - 29세","주민등록연앙인구[명]","명","5747",
"중구","여자","30 - 34세","주민등록연앙인구[명]","명","5566.5",
"중구","여자","35 - 39세","주민등록연앙인구[명]","명","4519.5",
"중구","여자","40 - 44세","주민등록연앙인구[명]","명","4336.5",
"중구","여자","45 - 49세","주민등록연앙인구[명]","명","3758",
"중구","여자","50 - 54세","주민등록연앙인구[명]","명","4878.5",
"중구","여자","55 - 59세","주민등록연앙인구[명]","명","4506.5",
"중구","여자","60 - 64세","주민등록연앙인구[명]","명","4762",
"중구","여자","65 - 69세","주민등록연앙인구[명]","명","4169",
"중구","여자","70 - 74세","주민등록연앙인구[명]","명","3000.5",
"중구","여자","75 - 79세","주민등록연앙인구[명]","명","2616.5",
"중구","여자","80세 이상","주민등록연앙인구[명]","명","4006",
"중구","여자","80 - 84세","주민등록연앙인구[명]","명","2134",
"중구","여자","85세 이상","주민등록연앙인구[명]","명","1872",
"중구","여자","85 - 89세","주민등록연앙인구[명]","명","1232",
"중구","여자","90 - 94세","주민등록연앙인구[명]","명","498.5",
"중구","여자","95 - 99세","주민등록연앙인구[명]","명","121.5",
"중구","여자","100세 이상","주민등록연앙인구[명]","명","20",
"용산구","계","계","주민등록연앙인구[명]","명","212437",
"용산구","계","0 - 4세","주민등록연앙인구[명]","명","5281",
"용산구","계","5 - 9세","주민등록연앙인구[명]","명","6217",
"용산구","계","10 - 14세","주민등록연앙인구[명]","명","6483.5",
"용산구","계","15 - 19세","주민등록연앙인구[명]","명","7309.5",
"용산구","계","20 - 24세","주민등록연앙인구[명]","명","12002.5",
"용산구","계","25 - 29세","주민등록연앙인구[명]","명","18733",
"용산구","계","30 - 34세","주민등록연앙인구[명]","명","20546",
"용산구","계","35 - 39세","주민등록연앙인구[명]","명","16804.5",
"용산구","계","40 - 44세","주민등록연앙인구[명]","명","16601.5",
"용산구","계","45 - 49세","주민등록연앙인구[명]","명","14732",
"용산구","계","50 - 54세","주민등록연앙인구[명]","명","18167.5",
"용산구","계","55 - 59세","주민등록연앙인구[명]","명","15742",
"용산구","계","60 - 64세","주민등록연앙인구[명]","명","15784",
"용산구","계","65 - 69세","주민등록연앙인구[명]","명","12731",
"용산구","계","70 - 74세","주민등록연앙인구[명]","명","8466",
"용산구","계","75 - 79세","주민등록연앙인구[명]","명","6793",
"용산구","계","80세 이상","주민등록연앙인구[명]","명","10043",
"용산구","계","80 - 84세","주민등록연앙인구[명]","명","5577.5",
"용산구","계","85세 이상","주민등록연앙인구[명]","명","4465.5",
"용산구","계","85 - 89세","주민등록연앙인구[명]","명","3098.5",
"용산구","계","90 - 94세","주민등록연앙인구[명]","명","1088",
"용산구","계","95 - 99세","주민등록연앙인구[명]","명","234.5",
"용산구","계","100세 이상","주민등록연앙인구[명]","명","44.5",
"용산구","남자","계","주민등록연앙인구[명]","명","102065.5",
"용산구","남자","0 - 4세","주민등록연앙인구[명]","명","2714.5",
"용산구","남자","5 - 9세","주민등록연앙인구[명]","명","3152",
"용산구","남자","10 - 14세","주민등록연앙인구[명]","명","3325.5",
"용산구","남자","15 - 19세","주민등록연앙인구[명]","명","3709",
"용산구","남자","20 - 24세","주민등록연앙인구[명]","명","5433.5",
"용산구","남자","25 - 29세","주민등록연앙인구[명]","명","8766.5",
"용산구","남자","30 - 34세","주민등록연앙인구[명]","명","10203.5",
"용산구","남자","35 - 39세","주민등록연앙인구[명]","명","8348",
"용산구","남자","40 - 44세","주민등록연앙인구[명]","명","8311.5",
"용산구","남자","45 - 49세","주민등록연앙인구[명]","명","7185",
"용산구","남자","50 - 54세","주민등록연앙인구[명]","명","8832.5",
"용산구","남자","55 - 59세","주민등록연앙인구[명]","명","7749.5",
"용산구","남자","60 - 64세","주민등록연앙인구[명]","명","7773",
"용산구","남자","65 - 69세","주민등록연앙인구[명]","명","6150.5",
"용산구","남자","70 - 74세","주민등록연앙인구[명]","명","3879",
"용산구","남자","75 - 79세","주민등록연앙인구[명]","명","2839.5",
"용산구","남자","80세 이상","주민등록연앙인구[명]","명","3692.5",
"용산구","남자","80 - 84세","주민등록연앙인구[명]","명","2226",
"용산구","남자","85세 이상","주민등록연앙인구[명]","명","1466.5",
"용산구","남자","85 - 89세","주민등록연앙인구[명]","명","1070",
"용산구","남자","90 - 94세","주민등록연앙인구[명]","명","331",
"용산구","남자","95 - 99세","주민등록연앙인구[명]","명","58.5",
"용산구","남자","100세 이상","주민등록연앙인구[명]","명","7",
"용산구","여자","계","주민등록연앙인구[명]","명","110371.5",
"용산구","여자","0 - 4세","주민등록연앙인구[명]","명","2566.5",
"용산구","여자","5 - 9세","주민등록연앙인구[명]","명","3065",
"용산구","여자","10 - 14세","주민등록연앙인구[명]","명","3158",
"용산구","여자","15 - 19세","주민등록연앙인구[명]","명","3600.5",
"용산구","여자","20 - 24세","주민등록연앙인구[명]","명","6569",
"용산구","여자","25 - 29세","주민등록연앙인구[명]","명","9966.5",
"용산구","여자","30 - 34세","주민등록연앙인구[명]","명","10342.5",
"용산구","여자","35 - 39세","주민등록연앙인구[명]","명","8456.5",
"용산구","여자","40 - 44세","주민등록연앙인구[명]","명","8290",
"용산구","여자","45 - 49세","주민등록연앙인구[명]","명","7547",
"용산구","여자","50 - 54세","주민등록연앙인구[명]","명","9335",
"용산구","여자","55 - 59세","주민등록연앙인구[명]","명","7992.5",
"용산구","여자","60 - 64세","주민등록연앙인구[명]","명","8011",
"용산구","여자","65 - 69세","주민등록연앙인구[명]","명","6580.5",
"용산구","여자","70 - 74세","주민등록연앙인구[명]","명","4587",
"용산구","여자","75 - 79세","주민등록연앙인구[명]","명","3953.5",
"용산구","여자","80세 이상","주민등록연앙인구[명]","명","6350.5",
"용산구","여자","80 - 84세","주민등록연앙인구[명]","명","3351.5",
"용산구","여자","85세 이상","주민등록연앙인구[명]","명","2999",
"용산구","여자","85 - 89세","주민등록연앙인구[명]","명","2028.5",
"용산구","여자","90 - 94세","주민등록연앙인구[명]","명","757",
"용산구","여자","95 - 99세","주민등록연앙인구[명]","명","176",
"용산구","여자","100세 이상","주민등록연앙인구[명]","명","37.5",
"성동구","계","계","주민등록연앙인구[명]","명","276960.5",
"성동구","계","0 - 4세","주민등록연앙인구[명]","명","8245",
"성동구","계","5 - 9세","주민등록연앙인구[명]","명","9310",
"성동구","계","10 - 14세","주민등록연앙인구[명]","명","8477.5",
"성동구","계","15 - 19세","주민등록연앙인구[명]","명","9632.5",
"성동구","계","20 - 24세","주민등록연앙인구[명]","명","17359.5",
"성동구","계","25 - 29세","주민등록연앙인구[명]","명","24060.5",
"성동구","계","30 - 34세","주민등록연앙인구[명]","명","23544.5",
"성동구","계","35 - 39세","주민등록연앙인구[명]","명","21889.5",
"성동구","계","40 - 44세","주민등록연앙인구[명]","명","21933.5",
"성동구","계","45 - 49세","주민등록연앙인구[명]","명","19227.5",
"성동구","계","50 - 54세","주민등록연앙인구[명]","명","23132.5",
"성동구","계","55 - 59세","주민등록연앙인구[명]","명","20900.5",
"성동구","계","60 - 64세","주민등록연앙인구[명]","명","21283.5",
"성동구","계","65 - 69세","주민등록연앙인구[명]","명","16677",
"성동구","계","70 - 74세","주민등록연앙인구[명]","명","11165",
"성동구","계","75 - 79세","주민등록연앙인구[명]","명","8906.5",
"성동구","계","80세 이상","주민등록연앙인구[명]","명","11215.5",
"성동구","계","80 - 84세","주민등록연앙인구[명]","명","6733",
"성동구","계","85세 이상","주민등록연앙인구[명]","명","4482.5",
"성동구","계","85 - 89세","주민등록연앙인구[명]","명","3246",
"성동구","계","90 - 94세","주민등록연앙인구[명]","명","991",
"성동구","계","95 - 99세","주민등록연앙인구[명]","명","205",
