itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum
091180,2,KODEX 자동차,18655,5,-35,-0.19,18686.0,0.2413,53150,995,7080
293180,1,HANARO 200,34775,2,90,0.26,34822.0,-5.7371,81289,2839,6746
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),9690,2,205,2.16,9718.0,-7.6437,36705,355,6601
152100,1,ARIRANG 200,35240,2,90,0.26,35261.0,-5.8096,556,19,6449
315930,2,KODEX Top5PlusTR,17095,2,15,0.09,17131.0,-10.0343,9973,171,6069
229200,1,KODEX 코스닥150,12010,2,130,1.09,12157.0,-1.2962,719026,8653,5705
360200,4,KINDEX 미국S&P500,13040,2,155,1.2,13019.0,-4.732,134283,1752,5503
294400,1,KOSEF 200TR,42005,2,100,0.24,42048.0,-5.7362,2062,86,5314
196230,6,KBSTAR 단기통안채,105170,5,-5,0.0,105175.0,0.2478,312,32,5149
357870,7,TIGER CD금리투자KIS(합성),50825,3,0,0.0,50827.0,0.3554,38,1,4505
190620,6,KINDEX 단기통안채,100505,2,15,0.01,100498.0,0.2794,29,2,4483
364980,2,TIGER KRX2차전지K-뉴딜,13930,2,95,0.69,13952.0,-3.245,157233,2198,4416
251350,4,KODEX 선진국MSCI World,19745,2,295,1.52,19731.0,-6.5354,1662,32,4403
379800,4,KODEX 미국S&P500TR,11410,2,140,1.24,11389.0,-4.6935,11778,134,4062
069660,1,KOSEF 200,34655,2,90,0.26,34683.0,-5.8867,323,11,3968
251340,3,KODEX 코스닥150선물인버스,4770,5,-45,-0.93,4774.0,-2.629,8437484,40125,3892
385540,6,KBSTAR KIS종합채권(A-이상)액티브,95145,5,-500,-0.52,95124.0,-2.0633,1,0,3831
367380,4,KINDEX 미국나스닥100,12220,2,290,2.43,12164.0,-10.9968,105454,1289,3813
314250,4,KODEX 미국FANG플러스(H),19845,2,685,3.58,19810.0,-27.3417,15787,312,3769
148070,6,KOSEF 국고채10년,110700,5,-875,-0.78,110829.0,-2.9361,709,78,3620
400970,2,TIGER Fn메타버스,9030,2,150,1.69,9058.0,-12.1575,82624,749,3585
401470,2,KODEX K-메타버스액티브,8775,2,160,1.86,8785.0,-12.6711,107053,943,3528
371160,4,TIGER 차이나항셍테크,5790,2,130,2.3,5680.0,-23.4618,154916,896,3416
272580,6,TIGER 단기채권액티브,50515,5,-5,-0.01,50512.0,0.3575,37,1,3392
329750,6,TIGER 미국달러단기채권액티브,10910,5,-50,-0.46,10914.0,7.0835,17680,192,3240
379810,4,KODEX 미국나스닥100TR,10450,2,220,2.15,10425.0,-11.0822,34418,359,3208
385550,6,KBSTAR KIS단기종합채권(AA-이상)액티브,100915,2,20,0.02,100903.0,0.413,2,0,3138
